Période,Produit,Sous-Type de Produit/Catégorie/Article,Mode de Transport,Origine,Destination,Port,Activité,Unité,Valeurs
1990Q3,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$,105469291.2
1990Q3,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$/MW.h,38.24343263
1990Q3,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,MW.h,40301
1990Q3,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$,1521563.11
1990Q3,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$/MW.h,37.75497159
1990Q3,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,MW.h,80
1990Q3,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$,4464.93
1990Q3,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$/MW.h,55.811625
1990Q3,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,MW.h,9700
1990Q3,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$,238174.13
1990Q3,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$/MW.h,24.55403402
1990Q3,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,MW.h,93667
1990Q3,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$,5744960.31
1990Q3,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$/MW.h,61.33387757
1990Q3,Electricity,N/A,N/A,New York,Québec,N/A,Imports,MW.h,844253
1990Q3,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$,24863594.93
1990Q3,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$/MW.h,29.45040756
1990Q3,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,MW.h,2450
1990Q3,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$,188894.2
1990Q3,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$/MW.h,77.09967347
1990Q3,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,MW.h,1705
1990Q3,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$,78645.26
1990Q3,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$/MW.h,46.1262522
1990Q3,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,MW.h,645
1990Q3,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$,26783.8
1990Q3,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$/MW.h,41.52527132
1990Q3,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,MW.h,41
1990Q3,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$,1077
1990Q3,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$/MW.h,26.26829268
1990Q3,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,MW.h,186.24
1990Q3,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$,11107
1990Q3,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$/MW.h,59.63810137
1990Q3,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,MW.h,1273734.522
1990Q3,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$,30438198.73
1990Q3,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$/MW.h,23.89681539
1990Q3,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,MW.h,39924
1990Q3,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$,747172.87
1990Q3,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$/MW.h,18.71488002
1990Q3,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,MW.h,44634
1990Q3,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$,834410.19
1990Q3,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$/MW.h,18.69449724
1990Q3,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,MW.h,342913
1990Q3,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$,7410472.5
1990Q3,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$/MW.h,21.61035744
1990Q3,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,MW.h,207903.954
1990Q3,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$,3875865.4
1990Q3,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$/MW.h,18.64257666
1990Q3,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,MW.h,822202.968
1990Q3,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$,12717208.63
1990Q3,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$/MW.h,13.46845494
1990Q3,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,MW.h,76848
1990Q3,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$,1526694.92
1990Q3,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$/MW.h,19.86642359
1990Q3,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,MW.h,518686.87
1990Q3,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$,19579413.98
1990Q3,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$/MW.h,37.20368732
1990Q3,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,MW.h,500213
1990Q3,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$,59014788
1990Q3,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$/MW.h,117.9793168
1990Q3,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,MW.h,4035.24
1990Q3,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$,169211.31
1990Q3,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$/MW.h,41.9333943
1990Q3,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,MW.h,72
1990Q3,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$,3521
1990Q3,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$/MW.h,48.90277778
1990Q3,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,MW.h,127578.352
1990Q3,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$,3229832.81
